ID,45-Ct
063200-24-1,31.3643
063200-24-2,27.8416
063200-24-4,34.533
063200-24-5,29.9072
063200-24-6,32.2903
063200-24-7,27.8536
063200-24-8,0
063200-24-9,0
063200-24-10,29.8776
063224-24-1,22.8023
063224-24-2,21.8145
063224-24-3,32.1745
063224-24-4,29.6729
063224-24-5,23.9773
063224-24-6,28.099
063224-24-7,29.6468
063224-24-8,0
063224-24-9,32.7138
063224-24-10,32.7075
057377-24-1,28.0814
057377-24-2,29.7803
057377-24-3,20.1972
057377-24-4,34.7078
057377-24-5,24.1978
057377-24-6,34.5921
057377-24-7,31.7155
057377-24-8,29.9798
057377-24-9,33.297
057377-24-10,31.7322
057377-24-11,31.7374
057377-24-12,32.4687
057377-24-13,17.8792
057377-24-14,33.2201
057377-24-15,26.3934
057377-24-16,34.8101
057377-24-17,29.5701
057377-24-18,30.676
057377-24-19,25.3745
057377-24-20,29.3674
057377-24-21,31.7941
057377-24-22,26.8089
057377-24-23,22.9278
057377-24-24,18.3148
057377-24-25,29.3922
057377-24-26,28.2007
057377-24-27,26.5892
078707-24-1,25.8024
078707-24-2,27.1225
078707-24-3,25.0505
078707-24-4,30.8359
078707-24-5,0
078707-24-6,25.6526
078707-24-7,29.9871
078707-24-8,20.6929
078707-24-9,28.4622
078707-24-10,28.2909
078707-24-11,27.4044
078707-24-12,29.8848
078707-24-13,25.1606
078707-24-14,32.2982
078707-24-15,23.4639
084875-24-1,23.0879
084875-24-2,27.9579
084875-24-3,0
084875-24-4,27.8088
084875-24-5,27.3392
084875-24-6,0
084875-24-7,23.868
A240740398-17,22.1
A240730133-7,28
A240730133-11,28.3
A240730133-16,0
A240730133-21,6.4
A240730133-25,30
A240730133-28,22.9
A240730133-31,24.2
A240730133-34,24
A240730133-36,0
A240730133-40,0
A240730133-45,6.9
A240730133-48,0
A240730133-53,6.1
A240730133-57,0
A240730133-60,12.6
A240730133-62,11.2
A240730133-66,12.6
A240730133-68,9.6
A240730133-80,33.3
A240730133-92,29.8
A240950122-3,9.1
A240950122-6,0
A240950122-9,0
A240950122-12,0
A240950122-15,0
A240950122-18,0
A240950122-21,0
A240950122-24,0
A240950122-27,0
A240950122-30,9.1
A240950122-33,0
A240950122-36,7.3
A240950122-39,0
A240950122-42,0
A240950015-1,0
A240950015-2,20.4
A240950015-3,23.8
A240950015-4,0
A240950015-5,24.7
A240950015-6,16.8
A240950015-7,19.6
A240950015-8,20.5
A240950015-9,21.8
A240950015-10,0
A240780262-3,23.8
A240780262-10,25.1
A240780262-16,20.6
A240780262-22,20.4
A240780262-28,17.8
A240780262-34,24.5
A240780262-40,0
A240850042-7,19.1
A240850042-16,0
A240850042-19,8
A240850042-22,18.8
A240850042-27,0
A240850042-34,0
A240850042-39,0
A240850042-44,28.6
A241030499-1,8.7
A241030499-3,0
A241030499-5,9.2
A241030499-7,10.2
A241030499-9,0
A241030499-10,0
A241030499-11,0
A241030499-12,0
A241030499-13,0
A241030499-14,0
A241030499-15,0
A241030499-16,0
A241030499-17,0
A241030499-18,0
A240860508-1,10.5
A240860508-2,0
A240860508-3,0
A240860508-4,0
A240860508-5,0
A240860508-6,4.5
A240860508-7,0
A240860508-8,0
A240860508-9,0
A240860508-10,0
A240860508-11,0
A240860508-13,0
A240860508-15,20.3
A240860508-17,0
A240860508-19,17.1
A240860508-21,19.6
A240860508-22,17.1
A240860508-23,22.4
A240860508-24,22.4
A240860508-25,26.6
A240860508-26,21.3
A240860508-27,22.3
A240860508-28,21.8
A240860508-29,6.1
A240860508-30,18.3
