ID,logTCID50,Range
057377-24-16-1,7.8,Ct 10-15
057377-24-4-1,6.55,Ct 10-15
057377-24-6-1,6.3,Ct 10-15
063200-24-3,7.3,Ct 10-15
057377-24-9-1,7.55,Ct 10-15
057377-24-14-1,6.55,Ct 10-15
063224-24-10,7.8,Ct 10-15
057377-24-12-1,8.3,Ct 10-15
078707-24-14-4-1 ,8.8,Ct 10-15
057377-24-21-1,4.3,Ct 10-15
057377-24-11-1,5.8,Ct 10-15
057377-24-10-1,5.55,Ct 10-15
063200-24-1,4.8,Ct 10-15
078707-24-4-4-1 ,7.3,Ct 10-15
057377-24-18-1,4.55,Ct 10-15
067041-24-2-1,6.55,Ct 10-15
078707-24-7-4-1 ,4.3,CT 15.1-20
057377-24-8-1,5.3,CT 15.1-20
063200-24-5,6.05,CT 15.1-20
078707-24-12-4-1 ,6.05,CT 15.1-20
067041-24-1-1,6.05,CT 15.1-20
057377-24-2-1,4.05,CT 15.1-20
063224-24-4,6.05,CT 15.1-20
057377-24-17-1,5.05,CT 15.1-20
057377-24-25-1,4.3,CT 15.1-20
078707-24-9-4-1 ,6.8,CT 15.1-20
078707-24-10-4-1 ,6.55,CT 15.1-20
057377-24-26-1,5.55,CT 15.1-20
057377-24-1-1,5.05,CT 15.1-20
084875-24-2-1 ,7.3,CT 15.1-20
084875-24-4-1 ,4.05,CT 15.1-20
067041-24-3-1,4.8,CT 15.1-20
078707-24-11-4-1 ,4.05,CT 15.1-20
084875-24-5-1 ,5.3,CT 15.1-20
078707-24-2-4-1 ,5.8,CT 15.1-20
057377-24-22-1,4.05,CT 15.1-20
057377-24-27-1,5.3,CT 15.1-20
078707-24-6-4-1 ,4.3,CT 15.1-20
078707-24-13-4-1 ,4.8,CT 15.1-20
078707-24-3-4-1 ,4.05,CT 15.1-20
057377-24-5-1,0,CT 20.1-25
063224-24-5,5.8,CT 20.1-25
084875-24-7-1 ,0,CT 20.1-25
078707-24-15-4-1 ,0,CT 20.1-25
084875-24-1-1 ,0,CT 20.1-25
084875-24-9-1 ,0,CT 20.1-25
057377-24-23-1,0,CT 20.1-25
063224-24-1,7.05,CT 20.1-25
084875-24-11-1 ,0,CT 20.1-25
084875-24-8-1 ,0,CT 20.1-25
063224-24-2,0,CT 20.1-25
084875-24-10-1 ,0,CT 20.1-25
089045-24-11 ,0,CT 20.1-25
078707-24-8-4-1 ,0,CT 20.1-25
057377-24-3-1,0,CT 20.1-25
089045-24-3 ,0,CT >25
089045-24-2 ,0,CT >25
089045-24-7 ,0,CT >25
057377-24-24-1,0,CT >25
057377-24-13-1,0,CT >25
089045-24-10 ,0,CT >25
089045-24-5 ,0,CT >25
089045-24-8 ,0,CT >25
089045-24-9 ,0,CT >25
086533-24-1-1 ,0,CT >25
089045-24-12 ,0,CT >25
086533-24-2-1 ,0,CT >25
089045-24-6 ,0,CT >25
086533-24-5-1 ,0,CT >25
