Animal ID,Day post inoculation,Sample,IAV RT-qPCR Ct,VI
2112,0,Blood,40.0,
2112,0,FS,40.0,
2112,0,Milk Bucket,40.0,
2112,0,Milk FL,40.0,
2112,0,Milk FR,40.0,
2112,0,Milk RL ,40.0,
2112,0,Milk RR,40.0,
2112,0,NS,40.0,
2112,0,OPS,40.0,
2112,0,OS,40.0,
2112,0,Saliva,40.0,
2112,0,Water,40.0,
2112,1,Blood,40.0,
2112,1,FS,40.0,
2112,1,Milk Bucket,29.0,
2112,1,Milk FL,40.0,
2112,1,Milk FR,25.5,POS
2112,1,Milk RL ,25.6,POS
2112,1,Milk RR,40.0,
2112,1,NS,40.0,
2112,1,OPS,40.0,
2112,1,OS,40.0,
2112,1,Saliva,40.0,
2112,1,Water,40.0,
2112,2,Blood,40.0,
2112,2,FS,40.0,
2112,2,Milk Bucket,16.0,
2112,2,Milk FL,35.0,
2112,2,Milk FR,15.7,POS
2112,2,Milk RL ,15.6,POS
2112,2,Milk RR,38.1,
2112,2,NS,38.4,
2112,2,OPS,40.0,
2112,2,OS,40.0,
2112,2,Saliva,38.3,
2112,2,Water,40.0,
2112,3,Blood,40.0,
2112,3,FS,40.0,
2112,3,Milk Bucket,16.8,
2112,3,Milk FL,38.9,
2112,3,Milk FR,15.3,POS
2112,3,Milk RL ,15.4,POS
2112,3,Milk RR,32.7,
2112,3,OPS,40.0,
2112,3,Saliva,40.0,
2112,3,Water,39.9,
2112,3,NS,33.1,
2112,3,OS,37.0,
2112,4,Milk Bucket,19.9,
2112,4,Milk FL,32.4,
2112,4,Blood,40.0,
2112,4,FS,40.0,
2112,4,Milk FR,17.5,POS
2112,4,Milk RL,20.7,POS
2112,4,Milk RR,36.2,
2112,4,NS,38.7,
2112,4,OPSf,40.0,
2112,4,OS,40.0,
2112,4,Saliva,40.0,
2112,4,Water,40.0,
2112,5,Milk Bucket,20.0,POS
2112,5,Milk FL,40.0,
2112,5,Blood,40.0,
2112,5,FS,40.0,
2112,5,Milk FR,20.3,POS
2112,5,Milk RL,17.5,POS
2112,5,Milk RR,28.1,NEG
2112,5,NS,40.0,
2112,5,OPSf,40.0,
2112,5,OS,40.0,
2112,5,Saliva,40.0,
2112,5,Water,40.0,
2112,6,Milk Bucket,19.6,
2112,6,Milk FL,34.5,
2112,6,Milk FR,17.9,POS
2112,6,Blood,39.6,
2112,6,FS,40.0,
2112,6,Milk RL,16.4,POS
2112,6,Milk RR,40.0,
2112,6,NS,40.0,
2112,6,OPSf,40.0,
2112,6,OS,40.0,
2112,6,Saliva,37.0,
