ID,3  (n=15),16 (n=12),31 (n=9)
078707-24-1-4-1 ,25.8,Not tested,12.03
078707-24-2-4-1 ,27.12,0,0
078707-24-3-4-1 ,25.05,18.47,Not tested
078707-24-4-4-1 ,30.84,19.91,15.88
078707-24-5-4-1 ,0,0,0
078707-24-6-4-1 ,25.65,15.74,12.83
078707-24-7-4-1 ,29.99,Not tested,Not tested
078707-24-8-4-1 ,20.69,8.7,0
078707-24-9-4-1 ,28.46,18.43,0
078707-24-10-4-1 ,28.29,15.23,Not tested
078707-24-11-4-1 ,27.4,Not tested,Not tested
078707-24-12-4-1 ,29.88,13.49,Not tested
078707-24-13-4-1 ,25.16,17.06,15.78
078707-24-14-4-1 ,32.3,20.99,Not tested
078707-24-15-4-1 ,23.46,9.77,0
