COW_ID,DPI,HL,FL,HR,FR
4,0,28,28,28,28
4,1,2981301.93,551.259566,2427046.32,1357.3577
4,2,231564601,48.8093017,141344955,19
4,3,423333429,238.883125,253433579,47.825804
4,4,122908869,156.563394,106829406,71.9192173
4,5,14150000,157.5,4965000,239.5
4,6,6740000,25.4,12750000,40.85
4,7,2925000,370.5,2690000,291.5
4,8,1485000,144.85,1780000,119.6
4,9,840500,178,277500,404
4,10,1725000,225.5,16850000,194.5
4,11,8985000,62.85,9310000,232.5
4,12,25350,203,376000,98.95
4,13,626500,144.5,555500,306
4,14,883000,28,581000,287.5
4,15,536000,28,381500,286.5
4,16,323500,1323,175500,4085
4,17,256000,2735,137500,3280
4,18,110000,3055,31850,1905
4,19,14400,370.5,5625,94
4,20,1555,28,755.5,50.15
4,21,6825,134.6,7680,105
4,22,4480,194,3250,28
4,23,4980,28,2860,142.2
4,24,3820,115.5,1445,111.5
4,26,6670,65,1680,204.5
4,28,3215,524,1800,853.5
11,0,28,167.439775,28,28
11,1,4360276.52,134.591499,672708.459,58.3352505
11,2,823861907,10654.8418,509242288,14935.9058
11,3,269239640,6819.1663,292632693,3128.20905
11,4,210080080,2889.49391,114211941,1116.15253
11,5,2195000,214.5,23100000,184.5
11,6,12050000,59.15,12500000,221
11,7,28100,193.3,455000,91.65
11,8,771500,136,681000,293.5
11,9,10500000,167.5,3800000,251
11,10,5110000,26.9,9470000,43.55
11,11,2280000,383,2100000,303.5
11,12,1175000,153.85,1410000,127.65
11,13,681000,188,232500,416.5
11,14,2145,475.5,180000,271
11,15,27350,1904,21400,614
11,16,31800,28,26200,905.5
11,17,35950,6470,15400,2200
11,18,3420,1084,1500,319.5
11,19,2390,489,1855,2700
11,20,8130,140,2940,118.6
11,21,635,28,494.5,298.5
11,22,589.5,164.5,624,28
11,23,912.5,73.5,345,75.5
11,24,865,227.5,258.5,239.5
11,26,540.5,85.45,512.5,258.5
11,28,877,179.5,1290,207.15
