plot,latitude,longitude,region,CRASSULACEAE,RESTIONACEAE,apan_mean_an,tminave07c,RFL_CONC,BioClimMAP30s
BK_1,-33.60279,24.24838,baviaanskloof,0.99,0,2057.600098,4.900000095,15.2,21.39999962
BK_10,-33.70192,24.20001,baviaanskloof,0,0.99,1856.599976,3.599999905,15.2,18.81669998
BK_100,-33.66145,24.4833,baviaanskloof,0,0,1978.400024,5.900000095,8.7,20.39999962
BK_101,-33.67216,24.39066,baviaanskloof,0.10426539,0,2095.899902,5.400000095,15.2,21.86669922
BK_102,-33.66683,24.36608,baviaanskloof,0.77181209,0,2056.899902,5.300000191,15.2,21.10000038
BK_103,-33.66551,24.36945,baviaanskloof,0.409302344,0,2056.899902,5.300000191,15.2,21.85000038
BK_104,-33.6191,24.17238,baviaanskloof,0.022222222,0,2028.5,4.800000191,15.2,20.36669922
BK_105,-33.57785,24.15371,baviaanskloof,0.99,0,2109.800049,5.300000191,13.1,21.33329964
BK_106,-33.70317,24.1993,baviaanskloof,0.016755521,0.397943642,1856.599976,3.599999905,15.2,18.81669998
BK_107,-33.70514,24.18902,baviaanskloof,0.041006525,0.08853681,1887.5,3.400000095,15.2,18.91670036
BK_108,-33.51758,24.09185,baviaanskloof,0.99,0,2102.899902,1,21.8,19.56669998
BK_109,-33.53253,24.10178,baviaanskloof,0.294972062,0,1888.599976,1.200000048,13.1,18.73329926
BK_11,-33.66927,24.20953,baviaanskloof,0.045081965,0.092213115,1938.199951,4.599999905,15.2,19.31669998
BK_110,-33.5309,24.10235,baviaanskloof,0,0.99,1888.599976,1.200000048,13.1,18.73329926
BK_111,-33.51077,24.03919,baviaanskloof,0.06557377,0.92399404,2025.699951,2.700000048,21.8,18.7833004
BK_112,-33.51227,24.0405,baviaanskloof,0,0.99,2025.699951,2.700000048,13.1,18.7833004
BK_113,-33.51437,24.04631,baviaanskloof,0.14784946,0.470430109,2037.099976,2.400000095,13.1,18.70000076
BK_114,-33.51602,24.04928,baviaanskloof,0,0.99,2037.099976,2.400000095,13.1,18.70000076
BK_115,-33.52293,24.08624,baviaanskloof,0,0.99,2080.899902,1.600000024,13.1,19.16670036
BK_116,-33.52069,24.0846,baviaanskloof,0.99,0.306946688,2080.899902,1.600000024,21.8,19.16670036
BK_117,-33.52574,24.08591,baviaanskloof,0.509859155,0.084507042,1974.099976,1.700000048,13.1,19.14999962
BK_118,-33.69292,24.1092,baviaanskloof,0,0.99,1820.300049,3.099999905,4.3,18.41670036
BK_119,-33.69193,24.1253,baviaanskloof,0.102393612,0.568484034,1904.300049,3.200000048,13.1,18.89999962
BK_12,-33.6336,24.40065,baviaanskloof,0,0,1998,4.800000191,8.7,20.73329926
BK_120,-33.70414,24.13811,baviaanskloof,0.503267976,0,1904.300049,3.200000048,4.3,19.35000038
BK_121,-33.61015,24.25176,baviaanskloof,0.54024553,0,2093.800049,4.699999809,15.2,21.68330002
